,ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,YEARS_EMPLOYED,YEARS_ALIVE,ON_TIME_RATE,ON_TIME,Higher education,Secondary / secondary special,Incomplete higher,Lower secondary,Academic degree
1533,5008902,0,1,0,297000,0,0,0,1,8.86,42.52,47.61904761904761,0,0.0,0.0,0.0,0.0,1.0
1554,5008903,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1570,5008904,0,1,0,297000,0,0,0,1,8.86,42.52,47.61904761904761,0,0.0,0.0,0.0,0.0,1.0
1591,5008905,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1607,5008906,0,1,0,297000,0,0,0,1,8.86,42.52,47.61904761904761,0,0.0,0.0,0.0,0.0,1.0
1628,5008907,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1644,5008908,0,1,0,297000,0,0,0,1,8.86,42.52,47.61904761904761,0,0.0,0.0,0.0,0.0,1.0
1665,5008909,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1681,5008910,0,1,0,297000,0,0,0,1,8.86,42.52,47.61904761904761,0,0.0,0.0,0.0,0.0,1.0
1702,5008911,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1718,5008912,0,1,0,297000,0,0,0,1,8.86,42.52,47.61904761904761,0,0.0,0.0,0.0,0.0,1.0
1739,5008913,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1755,5008914,0,1,0,297000,0,0,0,1,8.86,42.52,42.10526315789473,0,0.0,0.0,0.0,0.0,1.0
1774,5008915,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1790,5008916,0,1,0,297000,0,0,0,1,8.86,42.52,38.88888888888889,0,0.0,0.0,0.0,0.0,1.0
1808,5008917,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1824,5008918,0,1,0,297000,0,0,0,1,8.86,42.52,35.294117647058826,0,0.0,0.0,0.0,0.0,1.0
1841,5008919,0,1,0,297000,0,0,0,1,8.86,42.52,93.75,1,0.0,0.0,0.0,0.0,1.0
1857,5008920,0,1,0,297000,0,0,0,1,8.86,42.52,31.25,0,0.0,0.0,0.0,0.0,1.0
1873,5008921,0,1,0,297000,0,0,0,1,8.86,42.52,92.85714285714286,1,0.0,0.0,0.0,0.0,1.0
1887,5008922,0,1,0,297000,0,0,0,1,8.86,42.52,21.428571428571427,0,0.0,0.0,0.0,0.0,1.0
1901,5008923,0,1,0,297000,0,0,0,1,8.86,42.52,92.3076923076923,1,0.0,0.0,0.0,0.0,1.0
1914,5008924,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
1927,5008925,0,1,0,297000,0,0,0,1,8.86,42.52,92.3076923076923,1,0.0,0.0,0.0,0.0,1.0
1940,5008926,0,1,0,297000,0,0,0,1,8.86,42.52,8.333333333333332,0,0.0,0.0,0.0,0.0,1.0
1952,5008927,0,1,0,297000,0,0,0,1,8.86,42.52,90.0,1,0.0,0.0,0.0,0.0,1.0
1962,5008928,0,1,0,297000,0,0,0,1,8.86,42.52,10.0,0,0.0,0.0,0.0,0.0,1.0
1972,5008929,0,1,0,297000,0,0,0,1,8.86,42.52,87.5,1,0.0,0.0,0.0,0.0,1.0
1980,5008930,0,1,0,297000,0,0,0,1,8.86,42.52,14.285714285714285,0,0.0,0.0,0.0,0.0,1.0
1987,5008931,0,1,0,297000,0,0,0,1,8.86,42.52,83.33333333333334,1,0.0,0.0,0.0,0.0,1.0
1993,5008932,0,1,0,297000,0,0,0,1,8.86,42.52,16.666666666666664,0,0.0,0.0,0.0,0.0,1.0
1999,5008933,0,1,0,297000,0,0,0,1,8.86,42.52,83.33333333333334,1,0.0,0.0,0.0,0.0,1.0
2005,5008934,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
2010,5008935,0,1,0,297000,0,0,0,1,8.86,42.52,80.0,1,0.0,0.0,0.0,0.0,1.0
2015,5008936,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
2019,5008937,0,1,0,297000,0,0,0,1,8.86,42.52,50.0,0,0.0,0.0,0.0,0.0,1.0
2021,5008938,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
2023,5008939,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
2024,5008940,0,1,0,297000,0,0,0,1,8.86,42.52,50.0,0,0.0,0.0,0.0,0.0,1.0
2026,5008941,0,1,0,297000,0,0,0,1,8.86,42.52,100.0,1,0.0,0.0,0.0,0.0,1.0
2034,5008942,0,0,0,157500,0,1,0,2,13.28,37.38,6.25,0,0.0,1.0,0.0,0.0,0.0
2050,5008943,0,0,0,157500,0,1,0,2,13.28,37.38,100.0,1,0.0,1.0,0.0,0.0,0.0
2065,5008944,0,0,0,157500,0,1,0,2,13.28,37.38,6.25,0,0.0,1.0,0.0,0.0,0.0
2081,5008945,0,0,0,157500,0,1,0,2,13.28,37.38,6.25,0,0.0,1.0,0.0,0.0,0.0
2097,5008946,0,0,0,157500,0,1,0,2,13.28,37.38,6.25,0,0.0,1.0,0.0,0.0,0.0
2113,5008947,0,1,0,135000,1,1,0,2,3.86,42.42,100.0,1,0.0,0.0,0.0,0.0,1.0
2126,5008948,0,1,0,135000,1,1,0,2,3.86,42.42,100.0,1,0.0,0.0,0.0,0.0,1.0
2139,5008949,0,1,0,135000,1,1,0,2,3.86,42.42,100.0,1,0.0,0.0,0.0,0.0,1.0
2140,5008950,0,1,0,135000,1,1,0,2,3.86,42.42,100.0,1,0.0,0.0,0.0,0.0,1.0
2153,5008951,0,1,1,225000,0,0,0,3,7.69,28.28,86.95652173913044,1,0.0,0.0,0.0,0.0,1.0
2199,5008952,0,1,1,225000,0,0,0,3,7.69,28.28,100.0,1,0.0,0.0,0.0,0.0,1.0
2245,5008953,0,1,1,225000,0,0,0,3,7.69,28.28,100.0,1,0.0,0.0,0.0,0.0,1.0
2273,5008954,0,1,1,225000,0,0,0,3,7.69,28.28,0.0,0,0.0,0.0,0.0,0.0,1.0
2279,5008955,1,1,0,135000,0,0,0,2,4.69,48.73,0.0,0,0.0,0.0,0.0,0.0,1.0
2284,5008956,1,1,0,135000,0,0,0,2,4.69,48.73,87.5,1,0.0,0.0,0.0,0.0,1.0
2324,5008957,1,1,0,135000,0,0,0,2,4.69,48.73,87.5,1,0.0,0.0,0.0,0.0,1.0
2364,5008958,1,1,0,135000,0,0,0,2,4.69,48.73,0.0,0,0.0,0.0,0.0,0.0,1.0
2368,5008959,1,1,0,135000,0,0,0,2,4.69,48.73,25.0,0,0.0,0.0,0.0,0.0,1.0
2384,5008960,1,1,0,135000,0,0,0,2,4.69,48.73,58.620689655172406,0,0.0,0.0,0.0,0.0,1.0
2413,5008962,1,1,0,135000,0,0,0,2,4.69,48.73,66.66666666666666,0,0.0,0.0,0.0,0.0,1.0
2440,5008963,1,1,0,135000,0,0,0,2,4.69,48.73,76.92307692307693,1,0.0,0.0,0.0,0.0,1.0
2479,5008966,0,1,0,157500,0,1,0,2,2.44,43.91,6.25,0,0.0,0.0,0.0,0.0,1.0
2495,5008967,0,1,0,157500,0,1,0,2,2.44,43.91,36.36363636363637,0,0.0,0.0,0.0,0.0,1.0
2517,5008971,0,1,0,157500,0,1,0,2,2.44,43.91,0.0,0,0.0,0.0,0.0,0.0,1.0
2522,5008973,0,1,0,157500,0,1,0,2,2.44,43.91,0.0,0,0.0,0.0,0.0,0.0,1.0
2527,5008974,0,1,0,112500,0,0,0,2,0.0,61.15,33.33333333333333,0,0.0,0.0,0.0,0.0,1.0
2530,5008975,0,1,0,112500,0,0,0,2,0.0,61.15,4.545454545454546,0,0.0,0.0,0.0,0.0,1.0
2552,5008976,0,1,0,112500,0,0,0,2,0.0,61.15,0.0,0,0.0,0.0,0.0,0.0,1.0
2554,5008977,0,1,0,112500,0,0,0,2,0.0,61.15,0.0,0,0.0,0.0,0.0,0.0,1.0
2578,5008978,0,1,0,112500,0,0,0,2,0.0,61.15,4.545454545454546,0,0.0,0.0,0.0,0.0,1.0
2600,5008979,0,1,0,112500,0,0,0,2,0.0,61.15,78.94736842105263,1,0.0,0.0,0.0,0.0,1.0
2638,5008980,0,1,0,112500,0,0,0,2,0.0,61.15,64.70588235294117,0,0.0,0.0,0.0,0.0,1.0
2689,5008981,1,1,0,112500,0,1,0,2,6.52,57.19,100.0,1,0.0,0.0,0.0,0.0,1.0
2700,5008983,1,1,0,112500,0,1,0,2,6.52,57.19,100.0,1,0.0,0.0,0.0,0.0,1.0
2712,5008984,1,1,0,112500,0,1,0,2,6.52,57.19,100.0,1,0.0,0.0,0.0,0.0,1.0
2771,5008986,1,1,0,112500,0,1,0,2,6.52,57.19,100.0,1,0.0,0.0,0.0,0.0,1.0
2782,5008987,1,1,0,112500,0,1,0,2,6.52,57.19,72.72727272727273,0,0.0,0.0,0.0,0.0,1.0
2793,5008988,1,1,0,112500,0,1,0,2,6.52,57.19,100.0,1,0.0,0.0,0.0,0.0,1.0
2810,5008991,1,1,0,270000,1,1,0,1,3.27,45.43,10.344827586206897,0,0.0,0.0,0.0,0.0,1.0
2839,5008992,1,1,0,270000,1,1,0,1,3.27,45.43,85.71428571428571,1,0.0,0.0,0.0,0.0,1.0
2846,5008993,1,1,0,270000,1,1,0,1,3.27,45.43,0.0,0,0.0,0.0,0.0,0.0,1.0
2864,5008994,1,1,0,270000,1,1,0,1,3.27,45.43,15.0,0,0.0,0.0,0.0,0.0,1.0
2884,5008995,1,1,0,270000,1,1,0,1,3.27,45.43,5.263157894736842,0,0.0,0.0,0.0,0.0,1.0
2903,5112861,1,1,0,270000,1,1,0,1,3.27,45.43,5.0,0,0.0,0.0,0.0,0.0,1.0
2923,5008998,1,1,0,270000,0,0,1,2,2.27,29.12,100.0,1,0.0,1.0,0.0,0.0,0.0
2927,5008999,1,1,0,270000,0,0,1,2,2.27,29.12,100.0,1,0.0,1.0,0.0,0.0,0.0
2931,5009000,1,1,0,157500,0,0,0,2,2.27,27.2,60.86956521739131,0,0.0,0.0,0.0,0.0,1.0
2954,5009001,0,1,0,166500,1,1,0,2,17.19,51.85,14.285714285714285,0,0.0,0.0,0.0,0.0,1.0
2961,5009002,0,1,0,166500,1,1,0,2,17.19,51.85,14.285714285714285,0,0.0,0.0,0.0,0.0,1.0
2968,5009005,0,1,0,166500,1,1,0,2,17.19,51.85,14.285714285714285,0,0.0,0.0,0.0,0.0,1.0
2975,5009006,0,1,0,166500,1,1,0,2,17.19,51.85,36.36363636363637,0,0.0,0.0,0.0,0.0,1.0
2986,5009007,0,1,0,166500,1,1,0,2,17.19,51.85,36.36363636363637,0,0.0,0.0,0.0,0.0,1.0
2997,5009008,0,1,0,166500,1,1,0,2,17.19,51.85,14.285714285714285,0,0.0,0.0,0.0,0.0,1.0
3004,5009009,0,1,0,166500,1,1,0,2,17.19,51.85,36.36363636363637,0,0.0,0.0,0.0,0.0,1.0
3015,5009010,0,1,0,166500,1,1,0,2,17.19,51.85,14.285714285714285,0,0.0,0.0,0.0,0.0,1.0
3022,5009012,0,1,0,166500,1,1,0,2,17.19,51.85,50.0,0,0.0,0.0,0.0,0.0,1.0
3028,5009014,0,1,0,166500,1,1,0,2,17.19,51.85,14.285714285714285,0,0.0,0.0,0.0,0.0,1.0
3035,5009016,0,1,2,216000,0,0,1,4,8.53,42.31,76.0,1,0.0,1.0,0.0,0.0,0.0
3060,5009018,0,1,2,216000,0,0,1,4,8.53,42.31,76.92307692307693,1,0.0,1.0,0.0,0.0,0.0
3073,5009019,0,1,2,216000,0,0,1,4,8.53,42.31,0.0,0,0.0,1.0,0.0,0.0,0.0
3106,5009020,0,1,2,216000,0,0,1,4,8.53,42.31,52.0,0,0.0,1.0,0.0,0.0,0.0
3131,5009022,0,1,2,216000,0,0,1,4,8.53,42.31,85.0,1,0.0,1.0,0.0,0.0,0.0
3171,5009023,0,1,2,216000,0,0,1,4,8.53,42.31,83.33333333333334,1,0.0,1.0,0.0,0.0,0.0
3207,5009024,0,1,2,216000,0,0,1,4,8.53,42.31,33.33333333333333,0,0.0,1.0,0.0,0.0,0.0
3216,5009025,0,1,2,216000,0,0,1,4,8.53,42.31,82.35294117647058,1,0.0,1.0,0.0,0.0,0.0
3250,5009027,1,1,0,270000,0,0,1,2,29.71,54.41,31.818181818181817,0,0.0,0.0,0.0,0.0,1.0
3272,5112862,1,1,0,270000,0,0,1,2,29.71,54.41,82.75862068965517,1,0.0,0.0,0.0,0.0,1.0
3301,5009028,1,1,0,225000,0,0,0,2,7.61,39.59,9.090909090909092,0,0.0,0.0,0.0,0.0,1.0
3312,5009029,1,1,0,225000,0,0,0,2,7.61,39.59,100.0,1,0.0,0.0,0.0,0.0,1.0
3328,5009031,0,1,0,315000,0,0,0,1,3.27,28.92,85.71428571428571,1,0.0,0.0,0.0,0.0,1.0
3342,5009032,0,1,0,315000,0,0,0,1,3.27,28.92,85.71428571428571,1,0.0,0.0,0.0,0.0,1.0
3356,5009033,0,0,0,255150,0,0,0,2,0.0,51.18,76.47058823529412,1,0.0,0.0,1.0,0.0,0.0
3373,5009034,0,0,0,255150,0,0,0,2,0.0,51.18,38.88888888888889,0,0.0,0.0,1.0,0.0,0.0
3391,5009035,0,0,0,255150,0,0,0,2,0.0,51.18,33.33333333333333,0,0.0,0.0,1.0,0.0,0.0
3397,5009036,0,0,0,255150,0,0,0,2,0.0,51.18,73.68421052631578,0,0.0,0.0,1.0,0.0,0.0
3416,5009037,0,0,0,255150,0,0,0,2,0.0,51.18,80.0,1,0.0,0.0,1.0,0.0,0.0
3436,5009038,0,0,0,255150,0,0,0,2,0.0,51.18,69.23076923076923,0,0.0,0.0,1.0,0.0,0.0
3449,5009039,0,1,2,157500,0,0,0,3,1.52,39.25,88.88888888888889,1,0.0,0.0,0.0,0.0,1.0
3458,5009040,0,1,2,157500,0,0,0,3,1.52,39.25,75.0,0,0.0,0.0,0.0,0.0,1.0
3462,5009042,0,1,0,148500,0,0,0,2,2.44,48.33,61.904761904761905,0,0.0,1.0,0.0,0.0,0.0
3483,5009043,0,1,0,148500,0,0,0,2,2.44,48.33,21.052631578947366,0,0.0,1.0,0.0,0.0,0.0
3502,5009044,0,1,0,148500,0,0,0,2,2.44,48.33,6.666666666666667,0,0.0,1.0,0.0,0.0,0.0
3517,5009045,0,1,0,148500,0,0,0,2,2.44,48.33,6.666666666666667,0,0.0,1.0,0.0,0.0,0.0
3532,5009046,0,1,0,148500,0,0,0,2,2.44,48.33,50.0,0,0.0,1.0,0.0,0.0,0.0
3540,5009047,0,1,0,148500,0,0,0,2,2.44,48.33,8.333333333333332,0,0.0,1.0,0.0,0.0,0.0
3552,5009050,0,1,2,202500,0,0,1,4,6.27,30.13,57.14285714285714,0,0.0,1.0,0.0,0.0,0.0
3566,5009051,0,1,2,202500,0,0,1,4,6.27,30.13,46.51162790697674,0,0.0,1.0,0.0,0.0,0.0
3609,5009052,0,1,2,202500,0,0,1,4,6.27,30.13,64.58333333333334,0,0.0,1.0,0.0,0.0,0.0
3657,5009053,0,1,2,202500,0,0,1,4,6.27,30.13,57.14285714285714,0,0.0,1.0,0.0,0.0,0.0
3671,5009055,0,1,2,202500,0,0,1,4,6.27,30.13,92.85714285714286,1,0.0,1.0,0.0,0.0,0.0
3685,5009056,0,1,0,202500,1,0,0,1,2.44,24.28,0.0,0,0.0,0.0,0.0,0.0,1.0
3695,5009057,0,1,0,202500,1,0,0,1,2.44,24.28,0.0,0,0.0,0.0,0.0,0.0,1.0
3705,5009058,1,1,0,112500,0,1,1,1,2.18,20.52,100.0,1,0.0,0.0,0.0,0.0,1.0
3706,5009060,0,1,0,94500,0,1,0,2,0.0,61.18,0.0,0,0.0,1.0,0.0,0.0,0.0
3710,5009062,1,1,0,315000,0,0,0,2,5.69,28.63,92.10526315789474,1,0.0,0.0,0.0,0.0,1.0
3748,5009063,1,1,0,315000,0,0,0,2,5.69,28.63,89.28571428571429,1,0.0,0.0,0.0,0.0,1.0
3776,5009064,1,1,0,315000,0,0,0,2,5.69,28.63,100.0,1,0.0,0.0,0.0,0.0,1.0
3781,5009065,1,1,0,315000,0,0,0,2,5.69,28.63,100.0,1,0.0,0.0,0.0,0.0,1.0
3792,5009066,1,1,0,315000,0,0,0,2,5.69,28.63,12.5,0,0.0,0.0,0.0,0.0,1.0
3808,5009067,1,1,0,315000,0,0,0,2,5.69,28.63,20.0,0,0.0,0.0,0.0,0.0,1.0
3813,5009068,1,1,0,315000,0,0,0,2,5.69,28.63,86.95652173913044,1,0.0,0.0,0.0,0.0,1.0
3836,5009069,1,1,0,315000,0,0,0,2,5.69,28.63,44.44444444444444,0,0.0,0.0,0.0,0.0,1.0
3872,5009070,1,1,0,315000,0,0,0,2,5.69,28.63,92.10526315789474,1,0.0,0.0,0.0,0.0,1.0
